age_group,housing_type,count
10대,아파트,66
10대,단독주택,18
10대,주택 이외의 거처,7
10대,다세대주택,6
10대,연립주택,1
20대,아파트,884
20대,단독주택,203
20대,다세대주택,185
20대,주택 이외의 거처,79
20대,연립주택,34
20대,비주거용 건물 내 주택,13
30대,아파트,1035
30대,다세대주택,198
30대,단독주택,172
30대,주택 이외의 거처,118
30대,연립주택,35
30대,비주거용 건물 내 주택,11
40대,아파트,1096
40대,단독주택,265
40대,다세대주택,199
40대,주택 이외의 거처,70
40대,연립주택,33
40대,비주거용 건물 내 주택,14
50대,아파트,1238
50대,단독주택,331
50대,다세대주택,185
50대,주택 이외의 거처,120
50대,연립주택,51
50대,비주거용 건물 내 주택,16
60대,아파트,1079
60대,단독주택,326
60대,다세대주택,200
60대,주택 이외의 거처,93
60대,연립주택,47
60대,비주거용 건물 내 주택,19
70대,아파트,572
70대,단독주택,207
70대,다세대주택,115
70대,주택 이외의 거처,63
70대,연립주택,22
70대,비주거용 건물 내 주택,9
80대,아파트,287
80대,단독주택,91
80대,다세대주택,53
80대,주택 이외의 거처,28
80대,연립주택,16
80대,비주거용 건물 내 주택,5
90대,아파트,55
90대,단독주택,20
90대,다세대주택,7
90대,주택 이외의 거처,3
